feature_index_zero_based,gxi_mean_absolute,ig_mean_absolute,gxi_rank_ascending,ig_rank_ascending,common_structural_zero
0,0,0,1,1,True
1,0,0,2,2,True
2,0.000107952182589,0.00031913764542,12765,12636,False
3,0,0,3,3,True
4,0,0,4,4,True
5,0,0,5,5,True
6,0,0,6,6,True
7,0,0,7,7,True
8,0.0010842543561,0.0036321929656,18459,18454,False
9,0,0,8,8,True
10,0.000147883707541,0.000480641523609,13211,13164,False
11,0,0,9,9,True
12,0,0,10,10,True
13,0.000687488587573,0.00221519987099,16922,16759,False
14,0.000381047924748,0.00127881148364,14792,14797,False
15,0,0,11,11,True
16,0,0,12,12,True
17,0.00107505044434,0.00359946442768,18439,18429,False
18,0,0,13,13,True
19,0.000297704420518,0.00104252737947,14303,14378,False
20,0.000468714832095,0.00160714366939,15335,15424,False
21,0,0,14,14,True
22,0,0,15,15,True
23,0,0,16,16,True
24,0.000314258766593,0.000975987117272,14387,14259,False
25,0,0,17,17,True
26,0,0,18,18,True
27,0.000388375367038,0.00130218442064,14841,14838,False
28,0.000795086147264,0.00261885207146,17503,17441,False
29,0.000524400500581,0.00173074670602,15732,15662,False
30,0,0,19,19,True
31,0,0,20,20,True
32,0,0,21,21,True
33,0,0,22,22,True
34,0.000322569045238,0.00114689138718,14432,14561,False
35,0.000567762879655,0.00196509878151,16058,16240,False
36,0.000577231869102,0.00189677707385,16146,16052,False
37,0.00245872419327,0.00834056083113,19787,19794,False
38,0,0,23,23,True
39,0.000351000169758,0.00131207727827,14609,14857,False
40,0,0,24,24,True
41,8.96077399375e-05,0.000290460593533,12572,12545,False
42,0,0,25,25,True
43,0.000565464026295,0.00193672266323,16040,16161,False
44,0.00146298576146,0.0048620281741,19122,19097,False
45,0,0,26,26,True
46,0.000384972605389,0.00130047881976,14814,14834,False
47,0.000490615144372,0.00165939063299,15486,15517,False
48,0,0,27,27,True
49,0.000557538180146,0.00184560078196,15982,15940,False
50,0.000235164072365,0.000775329477619,13916,13877,False
51,0,0,28,28,True
52,0,0,29,29,True
53,0,0,30,30,True
54,0.000716492533684,0.00248013692908,17083,17223,False
55,0,0,31,31,True
56,0.00024700423819,0.000789776211604,13988,13903,False
57,0,0,32,32,True
58,0,0,33,33,True
59,0,0,34,34,True
60,0,0,35,35,True
61,0,0,36,36,True
62,0,0,37,37,True
63,0.000177350913873,0.000606701243669,13493,13517,False
64,0,0,38,38,True
65,0.000496454245877,0.00174690946005,15534,15706,False
66,0,0,39,39,True
67,0.000756028864998,0.00260607386008,17314,17419,False
68,0.00076707242988,0.00258665741421,17370,17392,False
69,0,0,40,40,True
70,0.00117533933371,0.00402819784358,18649,18690,False
71,0.000119105599879,0.000410918961279,12911,12949,False
72,0,0,41,41,True
73,5.49183387193e-05,0.000165084013133,12128,12063,False
74,0.00108130578883,0.00358004053123,18453,18421,False
75,0,0,42,42,True
76,0,0,43,43,True
77,0,0,44,44,True
78,0,0,45,45,True
79,0.000400198681746,0.00151568837464,14911,15246,False
80,0.000150675841724,0.00039358556387,13243,12895,False
81,0,0,46,46,True
82,0.000573636440095,0.00196688110009,16110,16245,False
83,0.00141550868284,0.00475334329531,19052,19045,False
84,0.000200598675292,0.000692809466273,13674,13701,False
85,0,0,47,47,True
86,0,0,48,48,True
87,0,0,49,49,True
88,0.000288022711175,0.000941653561313,14253,14212,False
89,0.000566496397369,0.00178517773747,16049,15798,False
90,0,0,50,50,True
91,7.2321294283e-05,0.000267085822998,12350,12463,False
92,0,0,51,51,True
93,0,0,52,52,True
94,0,0,53,53,True
95,0.00104960729368,0.00357100693509,18381,18416,False
96,0,0,54,54,True
97,0,0,55,55,True
98,0,0,56,56,True
99,0,0,57,57,True
100,0,0,58,58,True
101,0,0,59,59,True
102,0,0,60,60,True
103,0,0,61,61,True
104,0,0,62,62,True
105,0,0,63,63,True
106,0,0,64,64,True
107,0,0,65,65,True
108,0.0015124444617,0.00521572679281,19184,19218,False
109,0,0,66,66,True
110,0,0,67,67,True
111,0,0,68,68,True
112,0,0,69,69,True
113,4.90606398671e-05,0.000150542822666,12051,12011,False
114,0,0,70,70,True
115,0,0,71,71,True
116,0,0,72,72,True
117,0,0,73,73,True
118,0,0,74,74,True
119,0.000214996252907,0.000731389969587,13776,13781,False
120,0,0,75,75,True
121,0,0,76,76,True
122,3.63718354492e-05,0.000135252892505,11902,11943,False
123,0.000746897188947,0.00246305484325,17267,17191,False
124,0,0,77,77,True
125,0,0,78,78,True
126,0.000660223304294,0.00229896791279,16764,16905,False
127,0,0,79,79,True
128,0.000176098823431,0.000524416333064,13480,13273,False
129,0,0,80,80,True
130,0,0,81,81,True
131,0.000274361256743,0.000919131445698,14170,14166,False
132,0.000370471505448,0.00120648439042,14708,14663,False
133,0,0,82,82,True
134,0,0,83,83,True
135,0,0,84,84,True
136,0.000501465343405,0.00160699605476,15566,15423,False
137,0.00195241824258,0.00653167068958,19575,19574,False
138,0.000556507671718,0.00183649396058,15973,15916,False
139,0.000574878824409,0.00193990487605,16120,16172,False
140,0.000698284013197,0.00235166051425,16985,17000,False
141,0.000815745210275,0.00270173326135,17591,17546,False
142,0.000346529326634,0.0011546331225,14585,14574,False
143,0.00055012392113,0.00183814181946,15920,15922,False
144,0,0,85,85,True
145,0,0,86,86,True
146,0.000755802553613,0.0026029383298,17312,17414,False
147,0.000119841650303,0.000411449058447,12921,12951,False
148,0,0,87,87,True
149,0.00131714146119,0.00430341297761,18906,18837,False
150,0.00157328206114,0.00531816482544,19247,19251,False
151,0.000481549155666,0.00158167316113,15417,15373,False
152,0,0,88,88,True
153,0,0,89,89,True
154,0.000505787553266,0.00179746421054,15595,15832,False
155,0.000799289264251,0.00263900961727,17522,17467,False
156,0,0,90,90,True
157,0.00143013079651,0.00490382872522,19071,19112,False
158,0,0,91,91,True
159,0.000659806129988,0.002211650135,16761,16753,False
160,0,0,92,92,True
161,0,0,93,93,True
162,0,0,94,94,True
163,0.000863755238242,0.00287922169082,17798,17767,False
164,0,0,95,95,True
165,0.000897653808352,0.00305808521807,17924,17975,False
166,0.00071702490095,0.00238917185925,17087,17066,False
167,0,0,96,96,True
168,0,0,97,97,True
169,0,0,98,98,True
170,0.00055515114218,0.00182481401134,15961,15898,False
171,0,0,99,99,True
172,0,0,100,100,True
173,0,0,101,101,True
174,0,0,102,102,True
175,0.000978813273832,0.00337474420667,18200,18266,False
176,0,0,103,103,True
177,0.000606674235314,0.00193803280126,16389,16168,False
178,0,0,104,104,True
