feature_index_zero_based,gxi_mean_absolute,ig_mean_absolute,gxi_rank_ascending,ig_rank_ascending,common_structural_zero
0,2.13695966522e-05,3.36990851793e-05,1237,1426,False
1,2.1235387976e-05,3.32113449986e-05,1197,1362,False
2,1.8366785298e-05,3.24988905049e-05,344,1282,False
3,1.73978078237e-05,2.24129944399e-05,157,33,False
4,3.15104989568e-05,4.54022228951e-05,2759,2754,False
5,2.22545222641e-05,3.11548828904e-05,1462,1131,False
6,2.51328528975e-05,4.16161674366e-05,2034,2476,False
7,2.2564396204e-05,3.6302011722e-05,1545,1735,False
8,3.04956593027e-05,4.43633216491e-05,2701,2714,False
9,1.92919396795e-05,2.55994000327e-05,607,353,False
10,2.55835930147e-05,3.64390580216e-05,2110,1750,False
11,2.16539865505e-05,2.819020483e-05,1309,776,False
12,3.02631888189e-05,4.09430322179e-05,2684,2387,False
13,3.87862492062e-05,6.42654413241e-05,2972,2970,False
14,2.06060358323e-05,3.00521696772e-05,1008,992,False
15,1.92046136362e-05,3.20009967254e-05,583,1227,False
16,2.22302405746e-05,3.94442940888e-05,1452,2157,False
17,1.83503634616e-05,3.3099182474e-05,336,1347,False
18,1.81856266863e-05,2.48004980676e-05,305,231,False
19,3.39755279128e-05,4.79996124341e-05,2864,2800,False
20,2.02103437914e-05,2.94335877697e-05,906,928,False
21,2.51639758062e-05,3.94795388274e-05,2038,2164,False
22,2.36656105699e-05,3.94184862671e-05,1780,2153,False
23,2.4734179533e-05,3.92054425902e-05,1970,2127,False
24,1.84981472557e-05,2.46473991865e-05,383,214,False
25,2.62189660134e-05,3.88480038964e-05,2206,2062,False
26,1.99880596483e-05,2.61944969679e-05,827,454,False
27,2.65325325017e-05,4.12770168623e-05,2253,2436,False
28,3.49127949448e-05,6.15744866082e-05,2892,2939,False
29,1.81422656169e-05,2.91648757411e-05,299,895,False
30,1.83040392585e-05,2.75357178907e-05,326,694,False
31,1.97394674615e-05,2.94164437946e-05,740,925,False
32,1.740343032e-05,3.28000060108e-05,159,1313,False
33,1.8604368961e-05,2.65750877588e-05,416,529,False
34,2.85861970042e-05,4.20626602136e-05,2555,2525,False
35,1.91629533219e-05,2.90387561108e-05,565,875,False
36,2.49092809099e-05,4.37257003796e-05,1998,2669,False
37,2.43820159085e-05,3.98817865062e-05,1901,2230,False
38,2.46529125434e-05,4.18072304456e-05,1958,2503,False
39,2.37109288719e-05,3.09204842779e-05,1788,1107,False
40,2.60947690549e-05,3.87435793527e-05,2184,2051,False
41,1.97469016712e-05,2.62769608526e-05,747,471,False
42,2.33765476878e-05,3.67905122403e-05,1722,1797,False
43,3.86911160604e-05,6.41388905933e-05,2971,2969,False
44,1.82598487299e-05,2.93000884994e-05,319,913,False
45,2.36262076214e-05,3.80514466087e-05,1772,1945,False
46,2.61339391727e-05,3.91016510548e-05,2193,2107,False
47,1.83976935659e-05,3.35123040713e-05,352,1397,False
48,1.91531835299e-05,2.38597858697e-05,563,117,False
49,2.72740908258e-05,3.86645842809e-05,2389,2035,False
50,1.90681421373e-05,2.71273092949e-05,544,632,False
51,2.87592138193e-05,4.38000715803e-05,2570,2678,False
52,2.43590566242e-05,3.89693195757e-05,1897,2085,False
53,2.32327511185e-05,3.71642927348e-05,1700,1837,False
54,1.77609799721e-05,2.15162726818e-05,217,16,False
55,3.10098366754e-05,4.25412508775e-05,2738,2581,False
56,1.92218813027e-05,2.43924696406e-05,588,183,False
57,2.35959505517e-05,3.5052664316e-05,1761,1586,False
58,3.86191786674e-05,6.2281927967e-05,2970,2948,False
59,1.8186365196e-05,2.65022408712e-05,306,515,False
60,1.88007979887e-05,2.8311402275e-05,468,791,False
61,1.86940724234e-05,3.02171065414e-05,441,1006,False
62,1.98662146431e-05,3.37284182024e-05,792,1428,False
63,2.09445479413e-05,2.68018484348e-05,1122,569,False
64,3.28627793351e-05,4.75912092952e-05,2821,2795,False
65,2.36573832808e-05,3.03783381241e-05,1778,1027,False
66,2.85031128442e-05,4.34211287939e-05,2541,2647,False
67,2.12704853766e-05,3.54250296368e-05,1207,1630,False
68,2.53172238445e-05,4.23760175181e-05,2064,2564,False
69,1.99553960556e-05,2.69217271125e-05,815,603,False
70,2.83075096377e-05,4.12535737269e-05,2508,2433,False
71,2.20066103793e-05,2.88808932964e-05,1395,863,False
72,1.9625746063e-05,2.90584957838e-05,701,881,False
73,3.36049197358e-05,5.59081963729e-05,2856,2840,False
74,1.94186904992e-05,3.09962488245e-05,639,1114,False
75,2.10959315154e-05,3.27719790221e-05,1161,1310,False
76,2.43428821705e-05,3.63260223821e-05,1895,1737,False
77,2.17751276068e-05,3.86262254324e-05,1339,2031,False
78,2.01048515009e-05,2.62279227172e-05,860,459,False
79,3.05553294311e-05,4.26048754889e-05,2709,2587,False
80,1.75115146703e-05,2.68516450888e-05,176,586,False
81,2.9889995858e-05,4.54059118056e-05,2659,2755,False
82,2.24237264774e-05,3.70747620764e-05,1505,1824,False
83,2.1776635549e-05,3.54091098416e-05,1341,1629,False
84,1.82574258361e-05,2.52343052125e-05,318,300,False
85,2.5457209631e-05,3.67156389984e-05,2088,1787,False
86,1.78115878953e-05,2.46552444878e-05,227,215,False
87,2.68414623861e-05,3.77853648388e-05,2305,1920,False
88,3.52269198629e-05,5.98363149038e-05,2900,2914,False
89,1.88404846995e-05,2.74339090538e-05,477,672,False
90,2.21045538638e-05,3.43520550814e-05,1419,1508,False
91,2.36044652411e-05,3.49718720827e-05,1762,1579,False
92,1.74898996192e-05,3.14521857945e-05,170,1163,False
93,1.69057038875e-05,2.25858566409e-05,89,41,False
94,2.85312780761e-05,3.98055453843e-05,2547,2217,False
95,1.9914814402e-05,2.74575850199e-05,807,677,False
96,2.45160172199e-05,3.96302348236e-05,1936,2181,False
97,2.48811647907e-05,3.95996612497e-05,1994,2177,False
98,2.53470116149e-05,4.15278809669e-05,2068,2463,False
99,2.0636309273e-05,2.84122143057e-05,1017,809,False
100,2.95082045341e-05,4.14509413531e-05,2625,2451,False
101,2.20448146138e-05,2.72313718597e-05,1404,646,False
102,2.54561509792e-05,3.60231970262e-05,2087,1691,False
103,3.73517286789e-05,6.57076234347e-05,2954,2984,False
104,1.70930434251e-05,2.62863068201e-05,120,474,False
105,2.24263640121e-05,3.30540715368e-05,1506,1344,False
106,2.27397285926e-05,3.37574092555e-05,1578,1434,False
107,1.93816085812e-05,3.49602305505e-05,628,1578,False
108,2.04470616154e-05,2.74939920928e-05,967,686,False
109,2.99940802506e-05,4.10423199355e-05,2665,2405,False
110,2.04552361538e-05,3.04598252114e-05,970,1040,False
111,2.40517420025e-05,3.97111361963e-05,1850,2193,False
112,2.36658142967e-05,3.66812782886e-05,1781,1783,False
113,2.09616828215e-05,3.44305153703e-05,1127,1517,False
114,2.01467992156e-05,2.58603085967e-05,883,396,False
115,3.27413217747e-05,4.4172811613e-05,2814,2696,False
116,2.00594950002e-05,2.49378008448e-05,849,255,False
117,2.81753091258e-05,4.09790227422e-05,2495,2390,False
118,3.41753948305e-05,5.73571451241e-05,2869,2863,False
119,1.95439188246e-05,2.70580731012e-05,678,626,False
120,2.29631095863e-05,3.35613076459e-05,1640,1401,False
121,2.21587870328e-05,3.35142685799e-05,1436,1398,False
122,1.94664280571e-05,3.11641597364e-05,654,1132,False
123,1.68296683114e-05,2.23913884838e-05,81,32,False
124,2.81688571704e-05,3.83816222893e-05,2493,1997,False
125,2.03610143217e-05,2.67911691481e-05,945,565,False
126,2.50636421697e-05,3.90839741158e-05,2025,2106,False
127,2.31596513913e-05,3.48698704329e-05,1686,1568,False
128,2.28150984185e-05,3.47522181983e-05,1596,1555,False
129,2.07925622817e-05,2.72748457064e-05,1070,654,False
130,2.49836193689e-05,3.28023415932e-05,2012,1314,False
131,1.85568860616e-05,2.24721552513e-05,403,36,False
132,2.19878238568e-05,3.16629666486e-05,1385,1189,False
133,3.99511918658e-05,6.25957618468e-05,2994,2953,False
134,1.82110143214e-05,2.66935567197e-05,309,548,False
135,1.87920522876e-05,2.83295721601e-05,464,796,False
136,2.19396297325e-05,3.22780797433e-05,1378,1255,False
137,1.87421373994e-05,3.05638386635e-05,450,1053,False
138,1.60348572535e-05,2.23250008275e-05,22,30,False
139,2.9589584301e-05,3.89645574614e-05,2633,2084,False
140,2.5196448405e-05,3.35431432177e-05,2043,1400,False
141,2.4796996513e-05,3.99865893996e-05,1984,2249,False
142,2.27003947657e-05,3.71284841094e-05,1571,1831,False
143,2.40318258875e-05,3.61236707249e-05,1845,1708,False
144,2.20852671191e-05,2.88265164272e-05,1415,858,False
145,2.78688276012e-05,4.05081918871e-05,2460,2335,False
146,1.91972594621e-05,2.40868157562e-05,579,139,False
147,2.65840390057e-05,3.91373869206e-05,2263,2115,False
148,3.32783420163e-05,5.59824038646e-05,2839,2841,False
149,1.95058219106e-05,2.79735140793e-05,666,751,False
150,2.12080358324e-05,3.27377529175e-05,1191,1305,False
151,2.37820295297e-05,3.82323487429e-05,1808,1969,False
152,2.00381928153e-05,3.43848587363e-05,841,1513,False
153,2.21964146476e-05,3.00282263197e-05,1442,989,False
154,3.33213247359e-05,4.76165914733e-05,2844,2797,False
155,1.96387318283e-05,2.86658014375e-05,706,840,False
156,2.56910843746e-05,4.20501746703e-05,2125,2524,False
157,2.19153534999e-05,3.4906584915e-05,1365,1572,False
158,2.60887591139e-05,4.00581302529e-05,2183,2266,False
159,1.64562807186e-05,2.08350720641e-05,47,10,False
160,2.85446731141e-05,4.00576682296e-05,2551,2265,False
161,2.22034996114e-05,2.72990473604e-05,1445,656,False
162,2.7301530281e-05,3.97255789721e-05,2393,2197,False
163,3.31798073603e-05,5.88570910622e-05,2835,2893,False
164,1.73741464096e-05,2.64973732556e-05,152,513,False
165,2.09897316381e-05,3.21323714161e-05,1133,1240,False
166,2.2747719413e-05,3.19446917274e-05,1579,1217,False
167,1.83201045729e-05,3.24232241837e-05,329,1271,False
168,2.26370320888e-05,2.92166569125e-05,1558,902,False
169,3.13710079354e-05,4.59144102933e-05,2756,2769,False
170,1.90197370102e-05,2.60679225903e-05,531,430,False
171,2.73782243312e-05,4.17970913986e-05,2408,2502,False
172,2.31347112276e-05,3.73441871488e-05,1676,1854,False
173,2.69713164016e-05,4.02934674639e-05,2328,2297,False
174,2.01423099497e-05,2.6871179216e-05,882,592,False
175,2.38694174186e-05,3.45016815118e-05,1817,1528,False
176,1.73992084456e-05,2.20953916141e-05,158,24,False
177,2.4449911507e-05,3.5533314076e-05,1922,1645,False
178,3.4404998587e-05,5.88827679167e-05,2878,2894,False
179,1.7991358618e-05,2.65849994321e-05,266,531,False
180,2.01213952096e-05,3.29458234773e-05,871,1332,False
181,2.23225579248e-05,3.27376365021e-05,1477,1304,False
182,1.8789074602e-05,3.39901234838e-05,463,1461,False
183,2.00238755497e-05,2.70445179922e-05,838,625,False
184,2.85349487967e-05,4.30890213465e-05,2548,2624,False
185,1.88848625839e-05,2.77288127108e-05,493,722,False
186,2.72262332146e-05,4.52518361271e-05,2371,2750,False
187,2.49397762673e-05,3.90773420804e-05,2003,2103,False
188,1.94653275685e-05,3.14403587254e-05,653,1162,False
189,2.04724601645e-05,2.74583617283e-05,977,679,False
190,2.64231002802e-05,3.77861033485e-05,2239,1921,False
191,2.15644158743e-05,2.68392541329e-05,1281,581,False
192,2.45884602919e-05,3.6840501707e-05,1949,1802,False
193,3.56609816663e-05,6.43182283966e-05,2914,2971,False
194,1.73295647983e-05,2.65658691205e-05,145,525,False
195,2.05462856684e-05,3.16342484439e-05,995,1184,False
196,2.32579477597e-05,3.80972123821e-05,1703,1951,False
197,1.84644686669e-05,3.28191454173e-05,375,1316,False
198,1.85930057341e-05,2.62586581812e-05,412,466,False
199,2.89217005047e-05,4.21477488999e-05,2581,2539,False
200,2.06171825994e-05,2.98657541862e-05,1010,970,False
201,2.35581501329e-05,4.04973543482e-05,1753,2331,False
202,2.40356075665e-05,3.79282864742e-05,1846,1933,False
203,2.51540950558e-05,3.90070563299e-05,2036,2095,False
204,2.06410513783e-05,2.71874523605e-05,1020,644,False
205,2.47296593443e-05,3.52977731382e-05,1969,1616,False
206,1.9179589799e-05,2.4264165404e-05,569,159,False
207,2.7789043088e-05,4.30227883044e-05,2450,2620,False
208,3.85215062124e-05,6.37617267785e-05,2969,2964,False
209,1.71537012648e-05,2.93691336992e-05,128,917,False
210,2.08123437915e-05,3.04690711346e-05,1078,1044,False
211,2.25296789722e-05,3.3823071135e-05,1534,1439,False
212,1.70222574525e-05,2.95997979265e-05,111,942,False
213,1.9519819034e-05,2.47032312473e-05,671,220,False
