key,value,unit,source_file,source_field_or_operation
fc_full_space,19900,coordinates,oof_mean_absolute_rankings.npz,*_fc_full_mean_absolute.shape
selected_fc_per_fold,4975,edges,27_ROUND1_REVISED_FULL_DRAFT.md,B0027/B0048
fc_common_structural_zero_coordinates,11783,coordinates,oof_mean_absolute_rankings.npz,both FC arrays equal zero
fc_spearman,0.9999254883988534,coefficient,sanity_summary.json,gradient_x_input_vs_integrated_gradients.fc_full19900_spearman
fc_top50_jaccard,0.8867924528301887,coefficient,sanity_summary.json,gradient_x_input_vs_integrated_gradients.fc_top50_jaccard
fc_top100_jaccard,0.9230769230769231,coefficient,sanity_summary.json,gradient_x_input_vs_integrated_gradients.fc_top100_jaccard
frequency_features,3000,node-major coordinates,oof_mean_absolute_rankings.npz,*_frequency_mean_absolute.shape
frequency_spearman,0.917030786336754,coefficient,sanity_summary.json,gradient_x_input_vs_integrated_gradients.frequency_3000_spearman
frequency_top50_jaccard,0.7543859649122807,coefficient,sanity_summary.json,gradient_x_input_vs_integrated_gradients.frequency_top50_jaccard
frequency_top100_jaccard,0.7543859649122807,coefficient,sanity_summary.json,gradient_x_input_vs_integrated_gradients.frequency_top100_jaccard
frequency_absent_folds,8;9,outer folds,27_ROUND1_REVISED_FULL_DRAFT.md,B0041
frequency_all_zero_subject_rows,175,subjects,oof_subject_signed_attributions.npz,all frequency coordinates equal zero
frequency_nonzero_subject_rows,704,subjects,oof_subject_signed_attributions.npz,at least one nonzero frequency coordinate
frequency_aggregation_denominator,879,subjects,27_ROUND1_REVISED_FULL_DRAFT.md,B0054
weight_randomization_mean_spearman,0.05275675112485094,coefficient,weight_randomization.csv,mean of 30 condition rows
label_randomization_mean_spearman,0.05014506044626645,coefficient,label_randomization.csv,mean of 30 condition rows
