method,method_key,removal_percentage,fold,attribution_auc_three_seed_mean,random_auc_three_seed_mean,difference_three_seed_mean
G×I,gradient_x_input,5,0,0.690710949662688,0.643833246843107,0.0468777028195814
G×I,gradient_x_input,5,1,0.761632935478291,0.762324857291126,-0.000691921812835098
G×I,gradient_x_input,5,2,0.740875281093237,0.721501470333852,0.0193738107593842
G×I,gradient_x_input,5,3,0.768206192700225,0.751427088738973,0.0167791039612524
G×I,gradient_x_input,5,4,0.665277777777778,0.65625,0.00902777777777778
G×I,gradient_x_input,5,5,0.642881944444444,0.65625,-0.0133680555555556
G×I,gradient_x_input,5,6,0.712152777777778,0.687326388888889,0.0248263888888889
G×I,gradient_x_input,5,7,0.752083333333333,0.768229166666667,-0.0161458333333333
G×I,gradient_x_input,5,8,0.763715277777778,0.7421875,0.0215277777777778
G×I,gradient_x_input,5,9,0.68741134751773,0.684042553191489,0.00336879432624112
IG,integrated_gradients,5,0,0.655076976301678,0.643833246843107,0.0112437294585712
IG,integrated_gradients,5,1,0.769590036325895,0.762324857291126,0.00726517903476905
IG,integrated_gradients,5,2,0.751081127832555,0.721501470333852,0.0295796574987026
IG,integrated_gradients,5,3,0.767168309980972,0.751427088738973,0.0157412212419997
IG,integrated_gradients,5,4,0.655208333333333,0.65625,-0.00104166666666668
IG,integrated_gradients,5,5,0.6640625,0.65625,0.00781249999999993
IG,integrated_gradients,5,6,0.713194444444444,0.687326388888889,0.0258680555555556
IG,integrated_gradients,5,7,0.737847222222222,0.768229166666667,-0.0303819444444444
IG,integrated_gradients,5,8,0.771701388888889,0.7421875,0.0295138888888889
IG,integrated_gradients,5,9,0.670035460992908,0.684042553191489,-0.0140070921985815
G×I,gradient_x_input,10,0,0.661477253070403,0.65334717176959,0.00813008130081302
G×I,gradient_x_input,10,1,0.751600069192181,0.726863864383325,0.0247362048088566
G×I,gradient_x_input,10,2,0.756616502335236,0.736550769763017,0.0200657325722193
G×I,gradient_x_input,10,3,0.79882373291818,0.761113994118665,0.0377097387995156
G×I,gradient_x_input,10,4,0.666840277777778,0.657465277777778,0.00937499999999999
G×I,gradient_x_input,10,5,0.639930555555556,0.672395833333333,-0.0324652777777778
G×I,gradient_x_input,10,6,0.702604166666667,0.715277777777778,-0.0126736111111111
G×I,gradient_x_input,10,7,0.745659722222222,0.756944444444444,-0.0112847222222222
G×I,gradient_x_input,10,8,0.777777777777778,0.800520833333333,-0.0227430555555556
G×I,gradient_x_input,10,9,0.658333333333333,0.649822695035461,0.00851063829787232
IG,integrated_gradients,10,0,0.686559418785677,0.65334717176959,0.0332122470160872
IG,integrated_gradients,10,1,0.746929596955544,0.726863864383325,0.0200657325722193
IG,integrated_gradients,10,2,0.75315689327106,0.736550769763017,0.0166061235080435
IG,integrated_gradients,10,3,0.804359107420861,0.761113994118665,0.0432451133021968
IG,integrated_gradients,10,4,0.662847222222222,0.657465277777778,0.00538194444444451
IG,integrated_gradients,10,5,0.644965277777778,0.672395833333333,-0.0274305555555556
IG,integrated_gradients,10,6,0.697048611111111,0.715277777777778,-0.0182291666666667
IG,integrated_gradients,10,7,0.740451388888889,0.756944444444444,-0.0164930555555555
IG,integrated_gradients,10,8,0.783159722222222,0.800520833333333,-0.0173611111111112
IG,integrated_gradients,10,9,0.697872340425532,0.649822695035461,0.0480496453900709
