fold,seed,candidate_id,family,frequency_enabled,fixed_epoch,trainable_parameters
0,42,C09,full_multimodal_no_contrastive,True,20,1715381
0,43,C09,full_multimodal_no_contrastive,True,90,1715381
0,44,C09,full_multimodal_no_contrastive,True,20,1715381
1,42,C12,current_full_multimodal,True,20,1715381
1,43,C12,current_full_multimodal,True,10,1715381
1,44,C12,current_full_multimodal,True,70,1715381
2,42,C10,full_multimodal_no_contrastive,True,15,1715381
2,43,C10,full_multimodal_no_contrastive,True,135,1715381
2,44,C10,full_multimodal_no_contrastive,True,125,1715381
3,42,C12,current_full_multimodal,True,85,1715381
3,43,C12,current_full_multimodal,True,90,1715381
3,44,C12,current_full_multimodal,True,110,1715381
4,42,C11,current_full_multimodal,True,5,1715381
4,43,C11,current_full_multimodal,True,50,1715381
4,44,C11,current_full_multimodal,True,75,1715381
5,42,C09,full_multimodal_no_contrastive,True,85,1715381
5,43,C09,full_multimodal_no_contrastive,True,50,1715381
5,44,C09,full_multimodal_no_contrastive,True,50,1715381
6,42,C12,current_full_multimodal,True,40,1715381
6,43,C12,current_full_multimodal,True,55,1715381
6,44,C12,current_full_multimodal,True,10,1715381
7,42,C11,current_full_multimodal,True,5,1715381
7,43,C11,current_full_multimodal,True,15,1715381
7,44,C11,current_full_multimodal,True,80,1715381
8,42,C07,fc_demographics,False,55,1612355
8,43,C07,fc_demographics,False,90,1612355
8,44,C07,fc_demographics,False,40,1612355
9,42,C08,fc_demographics,False,70,1612355
9,43,C08,fc_demographics,False,50,1612355
9,44,C08,fc_demographics,False,45,1612355
