fold,seed,candidate_id,checkpoint_path,checkpoint_sha256,preprocessing_state_sha256,selected_edges_sha256,held_out_n,reload_max_probability_error,reload_status,xai_result_sha256
0,42,C09,model_checkpoints/fold_00/seed_42/model_checkpoint.pt,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,5bc19ade73979377b77326da3c4476754734249a7664f056af11ac19819659a4,8ea9856de1dd3173902d46e7e046e45dff8ca56e366f9936a457d576359af023,88,0,PASS,4b6ac37c0d002316405b0f6b57a46a70026edf1a77113cce864b93629403489b
0,43,C09,model_checkpoints/fold_00/seed_43/model_checkpoint.pt,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,5bc19ade73979377b77326da3c4476754734249a7664f056af11ac19819659a4,8ea9856de1dd3173902d46e7e046e45dff8ca56e366f9936a457d576359af023,88,0,PASS,fffd21ec7f5e9d6965538b6f1fdbd9eaa0ee23e7655283af8bad948785efda02
0,44,C09,model_checkpoints/fold_00/seed_44/model_checkpoint.pt,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,5bc19ade73979377b77326da3c4476754734249a7664f056af11ac19819659a4,8ea9856de1dd3173902d46e7e046e45dff8ca56e366f9936a457d576359af023,88,0,PASS,0dd793fd50173d0e122ecb11ed49b2855b129ef029187a31e34ec74dbf8f1c48
1,42,C12,model_checkpoints/fold_01/seed_42/model_checkpoint.pt,f254d9bde3e82aa227bcd381b19074c429f800392b01aa46243458a459bccd90,83de6ce6daa344043bcfdf224b0ad1ad2495f3a32615c2ad09794ad5dc63632c,3d1ba549cf26944027f23d3556c69061c5cd08e74f6d561129cd0a06d7f49149,88,0,PASS,7f58218197da7e6c124f5f1d018a7fc5364291d94481e5e93e517c119166b3f8
1,43,C12,model_checkpoints/fold_01/seed_43/model_checkpoint.pt,daad350e4ba72bd902ce5da989a6d00c62555e7175a29b181ff5a58435d34c27,83de6ce6daa344043bcfdf224b0ad1ad2495f3a32615c2ad09794ad5dc63632c,3d1ba549cf26944027f23d3556c69061c5cd08e74f6d561129cd0a06d7f49149,88,0,PASS,9b79f5ef5a9aa35efa0e1c2cea5761cb750d5a0fd9b1bd4620ffa489e6522045
1,44,C12,model_checkpoints/fold_01/seed_44/model_checkpoint.pt,8c2a0d5f1f4607863eb064965f614b519eb6b5831056f833907e035d762678d6,83de6ce6daa344043bcfdf224b0ad1ad2495f3a32615c2ad09794ad5dc63632c,3d1ba549cf26944027f23d3556c69061c5cd08e74f6d561129cd0a06d7f49149,88,0,PASS,edb5c8870592ccf510c54cbfd46cba62b53c7e90fa915e9c9a9b970ca1b36e57
2,42,C10,model_checkpoints/fold_02/seed_42/model_checkpoint.pt,ee55b4f6686c12d9acd4a9facb2dd6bd53b1a8e87fa32b4a0ee5aa4f79e10666,7a0004b1a78c14afa217cf9ed8b974d8578e147c1421d4bba1387ed545876243,79f5fc753bb98cb5fb65f65c9c95f4c9ffc0f9cbc763f1219183481c78518e88,88,0,PASS,8554f651b169079209ebf186bc17db26f5cc8ef46049749556c3c504a8e86658
2,43,C10,model_checkpoints/fold_02/seed_43/model_checkpoint.pt,331138cd4ebf1dd0d758f395a4d9fa9d34d7b88b5e1f727147e49ac23074bc59,7a0004b1a78c14afa217cf9ed8b974d8578e147c1421d4bba1387ed545876243,79f5fc753bb98cb5fb65f65c9c95f4c9ffc0f9cbc763f1219183481c78518e88,88,0,PASS,11367ac6d6eedd2a6cbd5e0faa6eed36c2600473af1361079c2ce91339d60f8c
2,44,C10,model_checkpoints/fold_02/seed_44/model_checkpoint.pt,fe1f50f30d3f91caa6a9a5bbf94c4794c58e05682f7a0888530de5bfbf1d9564,7a0004b1a78c14afa217cf9ed8b974d8578e147c1421d4bba1387ed545876243,79f5fc753bb98cb5fb65f65c9c95f4c9ffc0f9cbc763f1219183481c78518e88,88,0,PASS,23976e1bd953eddf73befe45c7cd7241c277152749d23917ecae032777198b7f
3,42,C12,model_checkpoints/fold_03/seed_42/model_checkpoint.pt,0bbef3023ee595aa4e47c85a42754981e9d5c563d8b29c30a1f47ce9f9f0ceea,7bf113e3cc76b9b9b320122de9df79e5626f6fdba475697ad419e5f592c94dbe,d6fe3ed0213aecd43f88070556f7f6cd2ee2a205b3220c025cc0c6b3b198e9ee,88,0,PASS,2ac3bc0acf5d359bd89915df1e573452b1f98dbfc6b6200284c7fdfc64768cf2
