fold,seed,condition,checkpoint_sha256,spearman,max_abs_diff,randomization_or_state,status
0,42,deterministic_inference,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,,0,repeat_and_saved,PASS
0,43,deterministic_inference,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,,0,repeat_and_saved,PASS
0,44,deterministic_inference,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,,0,repeat_and_saved,PASS
1,42,deterministic_inference,f254d9bde3e82aa227bcd381b19074c429f800392b01aa46243458a459bccd90,,0,repeat_and_saved,PASS
1,43,deterministic_inference,daad350e4ba72bd902ce5da989a6d00c62555e7175a29b181ff5a58435d34c27,,0,repeat_and_saved,PASS
1,44,deterministic_inference,8c2a0d5f1f4607863eb064965f614b519eb6b5831056f833907e035d762678d6,,0,repeat_and_saved,PASS
2,42,deterministic_inference,ee55b4f6686c12d9acd4a9facb2dd6bd53b1a8e87fa32b4a0ee5aa4f79e10666,,0,repeat_and_saved,PASS
2,43,deterministic_inference,331138cd4ebf1dd0d758f395a4d9fa9d34d7b88b5e1f727147e49ac23074bc59,,0,repeat_and_saved,PASS
2,44,deterministic_inference,fe1f50f30d3f91caa6a9a5bbf94c4794c58e05682f7a0888530de5bfbf1d9564,,0,repeat_and_saved,PASS
3,42,deterministic_inference,0bbef3023ee595aa4e47c85a42754981e9d5c563d8b29c30a1f47ce9f9f0ceea,,0,repeat_and_saved,PASS
3,43,deterministic_inference,4d0c17f03c1cb9cf9e573a4fddba5a2955861919d3a6b1b36e557fc08f7f02a9,,0,repeat_and_saved,PASS
3,44,deterministic_inference,1672b06ce28aa1081c6a66bc9469acb25a20a19c2fd27d9beaf880159efe192a,,0,repeat_and_saved,PASS
4,42,deterministic_inference,38af9e7df5b4a50832232b05c7d319917f44ccf22323adfc1a805c5f8a613ac7,,0,repeat_and_saved,PASS
4,43,deterministic_inference,13d17e27e11dcf9bacb6c0363a26e5cd7cc95faece4f5ff7c4b13c410724a9d5,,0,repeat_and_saved,PASS
4,44,deterministic_inference,9dacea0ba8f28d0aca4b07baea756fbb1262c2e52819ffb6550ea176510956ea,,0,repeat_and_saved,PASS
5,42,deterministic_inference,50a49aa4878b83e2a09c31a7ab4b90f4ea2bc056e2701eec5351644622e25085,,0,repeat_and_saved,PASS
5,43,deterministic_inference,a0932561636770b05e3880c8befe5e5096d9acacf8496525571c03727c86139b,,0,repeat_and_saved,PASS
5,44,deterministic_inference,1f272d0d421037bde3ba1f9f6267539e94659da209548fc70ac47d1587f2db7b,,0,repeat_and_saved,PASS
6,42,deterministic_inference,5c5df0dda5e48fdf8614837f053f4302a0230168508b4ec16bb6aacb1442167d,,0,repeat_and_saved,PASS
6,43,deterministic_inference,a24422c4220653ce48f2c36e6a4380ad38e49faf07605b9c7c95f8809a498d1f,,0,repeat_and_saved,PASS
6,44,deterministic_inference,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,,0,repeat_and_saved,PASS
7,42,deterministic_inference,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,,0,repeat_and_saved,PASS
7,43,deterministic_inference,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,,0,repeat_and_saved,PASS
7,44,deterministic_inference,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,,0,repeat_and_saved,PASS
8,42,deterministic_inference,7d522cbb688f8d3e77153d2194ac0ce4dde013cc2b79bb1364f64d20c14badbf,,0,repeat_and_saved,PASS
8,43,deterministic_inference,2e0f775e8fc79bae1890ad3025f20deb84984aaec3abfc2ace41fee7c013985f,,0,repeat_and_saved,PASS
8,44,deterministic_inference,f38c58669fd8eae6a215b9ce9eb81d3584ef64457bbe34ec6a069ea0fd5a2bf5,,0,repeat_and_saved,PASS
9,42,deterministic_inference,53eb3779a25b52782c7394b4a7a8d18ebd8931efeca82a5d73f2b5fd48686aec,,0,repeat_and_saved,PASS
9,43,deterministic_inference,8dda122b3e25ac6c5c81fd836f70b51ba072e83e89890f44a1e6fb09d5669b57,,0,repeat_and_saved,PASS
9,44,deterministic_inference,e7acd985abfed2ebdab09574e60423bb27d1b653f520d56ac28c8fbbf11e79b8,,0,repeat_and_saved,PASS
0,42,weight_randomization,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,0.0496114236662,,all_trainable_weights_reinitialized,COMPLETE
0,43,weight_randomization,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,0.060549233334,,all_trainable_weights_reinitialized,COMPLETE
0,44,weight_randomization,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,0.0770393525854,,all_trainable_weights_reinitialized,COMPLETE
1,42,weight_randomization,f254d9bde3e82aa227bcd381b19074c429f800392b01aa46243458a459bccd90,0.0480563855703,,all_trainable_weights_reinitialized,COMPLETE
1,43,weight_randomization,daad350e4ba72bd902ce5da989a6d00c62555e7175a29b181ff5a58435d34c27,0.0795074498234,,all_trainable_weights_reinitialized,COMPLETE
1,44,weight_randomization,8c2a0d5f1f4607863eb064965f614b519eb6b5831056f833907e035d762678d6,0.0443302745736,,all_trainable_weights_reinitialized,COMPLETE
2,42,weight_randomization,ee55b4f6686c12d9acd4a9facb2dd6bd53b1a8e87fa32b4a0ee5aa4f79e10666,0.0383270555727,,all_trainable_weights_reinitialized,COMPLETE
2,43,weight_randomization,331138cd4ebf1dd0d758f395a4d9fa9d34d7b88b5e1f727147e49ac23074bc59,0.0784220047366,,all_trainable_weights_reinitialized,COMPLETE
2,44,weight_randomization,fe1f50f30d3f91caa6a9a5bbf94c4794c58e05682f7a0888530de5bfbf1d9564,0.0419836542059,,all_trainable_weights_reinitialized,COMPLETE
