condition_key,fold,seed,method,removal_fraction,removal_label,n_removed,auc,accuracy,baseline_auc_same_fold_seed,delta_auc_vs_baseline,checkpoint_sha256,fixed_epoch,epochs_executed,runtime_seconds,ranking_scope,outer_test_used_for_ranking_or_training,retrained_baseline_max_abs_error_vs_checkpoint,ranking_sha256,condition_status,attribution_auc,random_auc,paired_difference
fold00__seed42__unmodified_baseline__baseline,0,42,unmodified_baseline,,0%,0,0.642968344577,0.568181818182,0.642968344577,0,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,20,20,14.5442113876,not_applicable,False,7.15420122144e-07,,COMPLETE,,,
fold00__seed42__gradient_x_input__5pct,0,42,gradient_x_input,0.05,5%,249,0.713544369486,0.625,0.642968344577,0.0705760249092,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,20,20,14.1292407513,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.713544369486,0.622729631552,0.0908147379346
fold00__seed42__integrated_gradients__5pct,0,42,integrated_gradients,0.05,5%,249,0.66683964712,0.636363636364,0.642968344577,0.0238713025428,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,20,20,13.6507780552,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.66683964712,0.622729631552,0.0441100155682
fold00__seed42__random__5pct,0,42,random,0.05,5%,249,0.622729631552,0.545454545455,0.642968344577,-0.0202387130254,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,20,20,12.4534232616,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold00__seed42__gradient_x_input__10pct,0,42,gradient_x_input,0.1,10%,498,0.639854696419,0.613636363636,0.642968344577,-0.00311364815776,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,20,20,12.6056101322,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.639854696419,0.663207057602,-0.0233523611832
fold00__seed42__integrated_gradients__10pct,0,42,integrated_gradients,0.1,10%,498,0.719252724442,0.625,0.642968344577,0.0762843798651,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,20,20,12.6444997787,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.719252724442,0.663207057602,0.0560456668396
fold00__seed42__random__10pct,0,42,random,0.1,10%,498,0.663207057602,0.602272727273,0.642968344577,0.0202387130254,c6b82995af9e828ff6bdcf73a17a1da16df300e4de894f92fc56f2bc5a18257d,20,20,12.4418685436,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold00__seed43__unmodified_baseline__baseline,0,43,unmodified_baseline,,0%,0,0.690192008303,0.590909090909,0.690192008303,0,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,90,90,55.7106962204,not_applicable,False,1.63580620938e-07,,COMPLETE,,,
fold00__seed43__gradient_x_input__5pct,0,43,gradient_x_input,0.05,5%,249,0.690710949663,0.613636363636,0.690192008303,0.000518941359626,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,90,90,52.3196191788,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.690710949663,0.673585884795,0.0171250648677
fold00__seed43__integrated_gradients__5pct,0,43,integrated_gradients,0.05,5%,249,0.677737415672,0.647727272727,0.690192008303,-0.012454592631,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,90,90,54.1940453053,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.677737415672,0.673585884795,0.00415153087701
fold00__seed43__random__5pct,0,43,random,0.05,5%,249,0.673585884795,0.545454545455,0.690192008303,-0.016606123508,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,90,90,59.8777518272,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold00__seed43__gradient_x_input__10pct,0,43,gradient_x_input,0.1,10%,498,0.69434353918,0.636363636364,0.690192008303,0.00415153087701,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,90,90,56.8565163612,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.69434353918,0.674104826155,0.0202387130254
fold00__seed43__integrated_gradients__10pct,0,43,integrated_gradients,0.1,10%,498,0.698495070057,0.636363636364,0.690192008303,0.00830306175402,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,90,90,63.7757995129,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.698495070057,0.674104826155,0.0243902439024
fold00__seed43__random__10pct,0,43,random,0.1,10%,498,0.674104826155,0.602272727273,0.690192008303,-0.0160871821484,1b82785b4cb27ade1ed8ff25690130802021acc701c66fe1824d196b70486309,90,90,58.357429266,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold00__seed44__unmodified_baseline__baseline,0,44,unmodified_baseline,,0%,0,0.606123508044,0.534090909091,0.606123508044,0,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,20,20,11.655030489,not_applicable,False,6.5183836423e-07,,COMPLETE,,,
fold00__seed44__gradient_x_input__5pct,0,44,gradient_x_input,0.05,5%,249,0.667877529839,0.602272727273,0.606123508044,0.0617540217955,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,20,20,12.682746172,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.667877529839,0.635184224183,0.0326933056565
fold00__seed44__integrated_gradients__5pct,0,44,integrated_gradients,0.05,5%,249,0.620653866113,0.625,0.606123508044,0.0145303580695,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,20,20,12.3878500462,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.620653866113,0.635184224183,-0.0145303580695
fold00__seed44__random__5pct,0,44,random,0.05,5%,249,0.635184224183,0.556818181818,0.606123508044,0.0290607161391,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,20,20,12.0477261543,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold00__seed44__gradient_x_input__10pct,0,44,gradient_x_input,0.1,10%,498,0.650233523612,0.568181818182,0.606123508044,0.0441100155682,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,20,20,12.9406819344,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.650233523612,0.622729631552,0.0275038920602
fold00__seed44__integrated_gradients__10pct,0,44,integrated_gradients,0.1,10%,498,0.641930461858,0.590909090909,0.606123508044,0.0358069538142,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,20,20,12.4341852665,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,49a81de18d193ff69f081fba508b8b9a9ea4ae8d2759915668775b6436c17402,COMPLETE,0.641930461858,0.622729631552,0.0192008303062
fold00__seed44__random__10pct,0,44,random,0.1,10%,498,0.622729631552,0.568181818182,0.606123508044,0.016606123508,b9fa444085688702a2470868c86b3ea3d6927308f4244a07682f43de28d24159,20,20,12.2837972641,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold01__seed42__unmodified_baseline__baseline,1,42,unmodified_baseline,,0%,0,0.774260508563,0.704545454545,0.774260508563,0,f254d9bde3e82aa227bcd381b19074c429f800392b01aa46243458a459bccd90,20,20,13.998529911,not_applicable,False,1.45889904007e-06,,COMPLETE,,,
